,,,Methodology,,,Benchmark,,,,
No.,Topics,Starting Materials,Formulation,Method,Impact,Implement,Evaluation,Ablation,,
1,Core Vector Regression for Very Large Regression Problems,icml.cc/Conferences/2005/proceedings/papers/115_CoreVector_TsangEtAl.pdf,Yes,Focused,No,Yes,Yes,Yes,,1. Core Vector Regression for Very Large Regression Problems
2,KerJEPA,https://arxiv.org/abs/2512.19605,Yes,Focused,No,Mini,Yes,Yes,,2. KerJEPA
3,V-JEPA,V-JEPA: The next step toward advanced machine intelligence,Yes,Focused,Yes,Mini,Mini,Yes,,3. V-JEPA
4,Graph-JEPA,[2309.16014] Graph-level Representation Learning with Joint-Embedding Predictive Architectures,Yes,Focused,No,Yes,Mini,No,,4. Graph-JEPA
5,LeJEPA,https://www.turingpost.com/p/lejepa,Yes,Focused,No,Mini,Yes,Yes,,5. LeJEPA
6,3D-JEPA,Meta FAIR | Locate 3D,Yes,Focused,No,Mini,Mini,No,,6. 3D-JEPA
7,JEPA for RL,esann.org/sites/default/files/proceedings/2025/ES2025-19.pdf,Yes,Focused,No,Mini,Mini,No,,7. JEPA for RL
8,Microsoft VITRA,https://microsoft.github.io/VITRA/,Yes,Focused,No,Mini,Yes,Yes,,8. Microsoft VITRA
9,Isaac GR00T: N1 through N1.6,https://arxiv.org/abs/2503.14734,Yes,Focused Comparative,Yes,Mini,Yes,Yes,,9. Isaac GR00T: N1 through N1.6
10,LAPA,https://latentactionpretraining.github.io/,Yes,Focused,No,Mini,Mini,No,,10. LAPA
11,Theoretical HyperNetworks,"M. Forgione, A. Chakrabarty, D. Piga, M. Rufolo, and A. Bemporad, “Manifold Meta-Learning for Reduced-Complexity Neural System Identification,” arXiv preprint arXiv:2504.11811, Apr. 2025.",Yes,Focused,No,No,No,No,,11. Theoretical HyperNetworks
12,VA-pi,https://huggingface.co/papers/2512.19680,Yes,Focused,No,Mini,Mini,No,,12. VA-pi
13,Internal RL,https://huggingface.co/papers/2512.20605,Yes,Focused,No,No,No,No,,13. Internal RL
14,Spatia,https://huggingface.co/papers/2512.15716,Yes,Focused,No,Mini,Mini,No,,14. Spatia
15,VidFM 3D Awareness Probe,https://huggingface.co/papers/2512.19949,Yes,Focused,No,Mini,Mini,Yes,,15. VidFM 3D Awareness Probe
16,LIVR,https://huggingface.co/papers/2512.21218,Yes,Focused,No,Mini,Mini,No,,16. LIVR
17,HACRL,https://huggingface.co/papers/2603.02604,Yes,Focused,No,Mini,Mini,Yes,,17. HACRL
18,InfinityStory,https://huggingface.co/papers/2603.03646,Yes,Focused,No,No,Mini,No,,18. InfinityStory
19,Proact-VL,https://huggingface.co/papers/2603.03447,Yes,Focused,No,Mini,Mini,No,,19. Proact-VL
20,G-OPD,https://huggingface.co/papers/2602.12125,Yes,Focused,No,Yes,Mini,No,,20. G-OPD
21,Relational Graph Transformer,https://cs.stanford.edu/people/jure/pubs/relational-graph-transformer-25.pdf,Yes,Focused,No,Mini,Mini,Yes,,21. Relational Graph Transformer
22,Relational Transformer,https://cs.stanford.edu/people/jure/pubs/relational-transformer-25.pdf,Yes,Focused,No,Mini,Mini,No,,22. Relational Transformer
23,Simple Evolutionary Algorithm,https://dl.acm.org/doi/10.1145/3638530.3664112,Yes,Focused,No,Yes,Yes,Yes,,23. Simple Evolutionary Algorithm
24,PhysBrain,https://huggingface.co/papers/2512.16793,Yes,Focused,No,Yes,Yes,No,,24. PhysBrain
25,mHC,https://arxiv.org/pdf/2512.24880,Yes,Focused,Yes,Mini,Mini,No,,25. mHC
26,GNN-MoE,https://arxiv.org/pdf/2511.04008,Yes,Focused,No,Mini,Mini,Yes,,26. GNN-MoE
27,RISE,https://huggingface.co/papers/2602.11075,Yes,Focused,No,Yes,Yes,Yes,,27. RISE
28,LangForce,https://arxiv.org/pdf/2601.15197,Yes,Focused,No,Mini,No,No,,28. LangForce
29,Vision Language Action Instruction Tuning: From Understanding to Manipulation,https://www.google.com/search?q=https://arxiv.org/pdf/2507.17520v2,Yes,Focused,No,Mini,No,No,,29. Vision Language Action Instruction Tuning: From Understanding to Manipulation
30,World Action Models,https://arxiv.org/pdf/2602.15922,Yes,Focused,Yes,Mini,Mini,No,,30. World Action Models
31,Seed2Scale,https://arxiv.org/pdf/2603.08260,Yes,Focused,No,Mini,Mini,No,,31. Seed2Scale
32,Humanoid World Models,https://arxiv.org/pdf/2506.01182,Yes,Focused,Yes,Yes,Mini,No,,32. Humanoid World Models
33,Ego Vision World Model for Humanoid Contact Planning,https://arxiv.org/pdf/2510.11682,Yes,Focused,No,Yes,Mini,No,,33. Ego Vision World Model for Humanoid Contact Planning
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,Yes:,Training the model from scratch on tested datasets as well as (at least 2) novel datasets,,,
,,,,,,Mini:,Training the model from scratch on tested datasets for at least 1 epoch,,,
,,,,,,No:,No training at all,,,
,,,,,,,Yes:,Evaluating the model on the test split of all datasets used for training,,
,,,,,,,Mini:,Fine-tuning the trained model (if Implement = Yes) or the pre-trained model provided online (if Implement != Yes) for testing on at least 2 novel datasets,,
,,,,,,,No:,No evaluation needed,,
,,,,,,,,Yes:,Benchmark the methods on different settings of hyperparameters and components,
,,,,,,,,No:,Not needed,
